symptoms,medicine
"itching, diarrhea, cough",Neem Tablets
"vomiting, insomnia, joint pain, sore throat",Neem Tablets
"joint pain, dizziness",Peppermint Oil
"depression, stress",Amla Tablets
"itching, joint pain, sore throat, skin rash",Moringa Powder
"sore throat, joint pain, fatigue",Triphala Juice
"itching, headache",Tulsi Extract
"nausea, headache",Tulsi Extract
"stress, back pain, sore throat",Arjuna Bark
"depression, diarrhea, itching, anxiety",Neem Tablets
"vomiting, sore throat",Fenugreek Seeds
"acne, sore throat, nausea",Licorice Root
"nausea, fatigue, fever, depression",Ginger Powder
"nausea, headache, stress, cough",Tulsi Extract
"acne, back pain",Brahmi Syrup
"muscle pain, stress",Ginger Powder
"headache, anxiety",Moringa Powder
"muscle pain, dizziness, nausea",Ginger Powder
"sore throat, itching, fever, muscle pain",Triphala Juice
"fever, nausea",Fenugreek Seeds
"vomiting, joint pain, constipation",Neem Tablets
"joint pain, diarrhea",Brahmi Syrup
"depression, cough, fatigue",Neem Tablets
"skin rash, insomnia, nausea",Brahmi Syrup
"headache, stress",Licorice Root
"fever, stress, itching",Brahmi Syrup
"vomiting, stress, nausea",Amla Tablets
"dizziness, vomiting, nausea, muscle pain",Brahmi Syrup
"itching, sore throat, joint pain, dizziness",Amla Tablets
"insomnia, fever",Neem Tablets
"skin rash, acne",Arjuna Bark
"diarrhea, anxiety, acne",Ginger Powder
"fatigue, insomnia, cough, vomiting",Peppermint Oil
"joint pain, depression, diarrhea",Triphala Juice
"itching, dizziness, anxiety",Neem Tablets
"dizziness, headache, diarrhea, skin rash",Turmeric Capsules
"constipation, stress, sore throat",Moringa Powder
"fever, anxiety",Triphala Juice
"sore throat, muscle pain",Peppermint Oil
"diarrhea, back pain, skin rash",Brahmi Syrup
"muscle pain, stress, dizziness, vomiting",Shatavari Capsules
"anxiety, acne",Brahmi Syrup
"itching, stress, nausea, muscle pain",Triphala Juice
"itching, depression, dizziness, vomiting",Moringa Powder
"acne, insomnia",Chamomile Tea
"joint pain, diarrhea",Moringa Powder
"back pain, fever, joint pain",Fenugreek Seeds
"itching, stress, joint pain, anxiety",Fenugreek Seeds
"depression, anxiety, acne",Arjuna Bark
"itching, acne, fatigue, constipation",Arjuna Bark
"insomnia, muscle pain, itching, nausea",Triphala Juice
"stress, depression, back pain",Fenugreek Seeds
"joint pain, back pain, skin rash, cough",Amla Tablets
"vomiting, nausea, cough, anxiety",Amla Tablets
"headache, skin rash, cough, itching",Shatavari Capsules
"itching, fever",Amla Tablets
"back pain, cough",Neem Tablets
"nausea, fever, insomnia, fatigue",Shatavari Capsules
"muscle pain, constipation, anxiety, back pain",Shatavari Capsules
"stress, sore throat",Ginger Powder
"fever, joint pain",Chamomile Tea
"skin rash, anxiety",Tulsi Extract
"cough, dizziness, vomiting",Shatavari Capsules
"stress, diarrhea, back pain, insomnia",Chamomile Tea
"fever, constipation",Tulsi Extract
"fatigue, back pain, stress",Arjuna Bark
"itching, diarrhea, stress, sore throat",Ashwagandha Capsules
"fatigue, constipation, insomnia",Ashwagandha Capsules
"itching, nausea",Tulsi Extract
"headache, skin rash, fatigue, depression",Turmeric Capsules
"constipation, dizziness, insomnia, stress",Ashwagandha Capsules
"dizziness, fatigue",Moringa Powder
"vomiting, sore throat, fatigue",Amla Tablets
"cough, sore throat, insomnia, depression",Turmeric Capsules
"muscle pain, sore throat, skin rash",Turmeric Capsules
"anxiety, back pain, muscle pain, headache",Tulsi Extract
"stress, sore throat",Ginger Powder
"cough, dizziness, muscle pain, headache",Triphala Juice
"vomiting, muscle pain, cough, diarrhea",Chamomile Tea
"fever, insomnia, headache, sore throat",Moringa Powder
"dizziness, acne, itching",Chamomile Tea
"sore throat, back pain, fatigue",Fenugreek Seeds
"joint pain, cough, stress, depression",Shatavari Capsules
"sore throat, anxiety, acne",Licorice Root
"fever, sore throat",Moringa Powder
"fever, insomnia, skin rash, itching",Ashwagandha Capsules
"back pain, fatigue, itching, diarrhea",Turmeric Capsules
"itching, muscle pain, fever",Ashwagandha Capsules
"stress, acne",Turmeric Capsules
"fever, nausea",Moringa Powder
"acne, nausea",Turmeric Capsules
"skin rash, dizziness, back pain, diarrhea",Brahmi Syrup
"sore throat, muscle pain",Tulsi Extract
"dizziness, sore throat, fever, muscle pain",Chamomile Tea
"constipation, headache, fever",Shatavari Capsules
"diarrhea, fatigue",Ginger Powder
"joint pain, muscle pain, diarrhea, headache",Ginger Powder
"acne, stress, nausea",Triphala Juice
"muscle pain, sore throat",Neem Tablets
"cough, vomiting, muscle pain, constipation",Chamomile Tea
"vomiting, constipation, skin rash",Ginger Powder
"headache, muscle pain, back pain, stress",Ashwagandha Capsules
"acne, headache",Tulsi Extract
"itching, insomnia",Arjuna Bark
"fever, depression",Ginger Powder
"insomnia, nausea, acne",Amla Tablets
"nausea, headache, diarrhea",Peppermint Oil
"stress, anxiety",Tulsi Extract
"constipation, vomiting, itching",Moringa Powder
"fatigue, stress",Peppermint Oil
"headache, back pain, depression, stress",Turmeric Capsules
"nausea, dizziness, anxiety",Chamomile Tea
"sore throat, anxiety",Ashwagandha Capsules
"constipation, depression, joint pain",Ashwagandha Capsules
"cough, dizziness, fatigue, constipation",Brahmi Syrup
"itching, muscle pain, fatigue",Brahmi Syrup
"constipation, stress",Peppermint Oil
"acne, sore throat",Amla Tablets
"itching, headache",Turmeric Capsules
"stress, back pain",Ginger Powder
"vomiting, back pain, skin rash, itching",Shatavari Capsules
"sore throat, itching, headache, fever",Arjuna Bark
"insomnia, headache, nausea, muscle pain",Brahmi Syrup
"stress, depression, joint pain",Triphala Juice
"anxiety, depression",Chamomile Tea
"nausea, fatigue, vomiting",Ashwagandha Capsules
"constipation, dizziness, fever",Licorice Root
"stress, fever, anxiety, acne",Fenugreek Seeds
"skin rash, muscle pain, cough, itching",Chamomile Tea
"acne, insomnia",Ashwagandha Capsules
"insomnia, joint pain",Peppermint Oil
"vomiting, diarrhea, skin rash, headache",Peppermint Oil
"back pain, constipation, sore throat",Ginger Powder
"cough, anxiety",Licorice Root
"sore throat, joint pain, insomnia",Amla Tablets
"depression, headache, fever, sore throat",Neem Tablets
"cough, stress, fever, insomnia",Fenugreek Seeds
"back pain, nausea",Amla Tablets
"stress, sore throat",Ginger Powder
"cough, back pain, stress",Ginger Powder
"back pain, headache",Tulsi Extract
"vomiting, anxiety, sore throat, headache",Triphala Juice
"skin rash, joint pain",Triphala Juice
"insomnia, stress, acne",Moringa Powder
"skin rash, stress, muscle pain, itching",Ginger Powder
"stress, insomnia, nausea, sore throat",Shatavari Capsules
"stress, anxiety, skin rash",Turmeric Capsules
"cough, sore throat",Chamomile Tea
"diarrhea, cough, fatigue",Peppermint Oil
"constipation, nausea",Arjuna Bark
"muscle pain, cough, headache, joint pain",Fenugreek Seeds
"fever, back pain",Licorice Root
"fever, acne, stress",Triphala Juice
"dizziness, depression",Arjuna Bark
"back pain, nausea",Ginger Powder
"anxiety, sore throat, insomnia",Ginger Powder
"stress, sore throat, anxiety",Neem Tablets
"depression, vomiting, back pain, diarrhea",Licorice Root
"muscle pain, vomiting",Amla Tablets
"constipation, depression, vomiting, headache",Triphala Juice
"dizziness, sore throat, fever",Arjuna Bark
"dizziness, insomnia",Peppermint Oil
"acne, itching",Turmeric Capsules
"vomiting, skin rash",Peppermint Oil
"fever, acne, depression, back pain",Turmeric Capsules
"anxiety, headache",Brahmi Syrup
"skin rash, acne, headache",Peppermint Oil
"fatigue, muscle pain, depression, cough",Ashwagandha Capsules
"depression, skin rash, headache, back pain",Tulsi Extract
"anxiety, acne",Fenugreek Seeds
"anxiety, muscle pain, itching, cough",Amla Tablets
"vomiting, constipation, joint pain, back pain",Arjuna Bark
"vomiting, constipation, acne",Ginger Powder
"fatigue, fever, cough, acne",Amla Tablets
"fatigue, stress",Peppermint Oil
"skin rash, fatigue",Turmeric Capsules
"skin rash, nausea, back pain, headache",Chamomile Tea
"itching, headache",Ginger Powder
"anxiety, fever, headache",Chamomile Tea
"fatigue, headache, muscle pain",Triphala Juice
"nausea, anxiety, skin rash, cough",Amla Tablets
"cough, diarrhea, back pain, vomiting",Neem Tablets
"constipation, anxiety, itching",Turmeric Capsules
"anxiety, dizziness",Shatavari Capsules
"vomiting, itching, sore throat, anxiety",Shatavari Capsules
"constipation, depression, joint pain, skin rash",Shatavari Capsules
"vomiting, acne, itching, stress",Triphala Juice
"sore throat, nausea, depression",Brahmi Syrup
"constipation, diarrhea, sore throat, acne",Neem Tablets
"sore throat, nausea",Chamomile Tea
"insomnia, joint pain, sore throat",Licorice Root
"muscle pain, diarrhea, sore throat",Chamomile Tea
"vomiting, itching",Fenugreek Seeds
"depression, dizziness",Peppermint Oil
"joint pain, stress, headache",Turmeric Capsules
"back pain, cough, joint pain",Amla Tablets
"vomiting, constipation, fatigue",Triphala Juice
"headache, diarrhea, back pain, muscle pain",Moringa Powder
"stress, skin rash, depression, diarrhea",Ashwagandha Capsules
"dizziness, insomnia",Chamomile Tea
"back pain, cough, muscle pain",Fenugreek Seeds
"constipation, dizziness, fatigue",Licorice Root
"fatigue, dizziness, acne",Neem Tablets
"stress, anxiety, nausea, joint pain",Ginger Powder
"insomnia, fever, back pain, acne",Shatavari Capsules
"joint pain, vomiting",Tulsi Extract
"stress, fatigue, headache",Licorice Root
"fatigue, sore throat, back pain, muscle pain",Peppermint Oil
"muscle pain, skin rash, depression, stress",Triphala Juice
"fever, muscle pain",Amla Tablets
"depression, fatigue",Shatavari Capsules
"dizziness, acne, fever, joint pain",Peppermint Oil
"vomiting, fatigue",Peppermint Oil
"dizziness, muscle pain, insomnia",Moringa Powder
"cough, muscle pain",Ginger Powder
"cough, insomnia, skin rash, joint pain",Ashwagandha Capsules
"joint pain, fatigue",Turmeric Capsules
"headache, constipation, joint pain",Shatavari Capsules
"depression, diarrhea",Turmeric Capsules
"skin rash, sore throat, diarrhea",Arjuna Bark
"headache, acne",Arjuna Bark
"headache, fever",Peppermint Oil
"fever, cough, anxiety, acne",Fenugreek Seeds
"anxiety, muscle pain",Turmeric Capsules
"constipation, muscle pain",Neem Tablets
"diarrhea, vomiting, fever, sore throat",Peppermint Oil
"itching, dizziness",Peppermint Oil
"itching, depression, headache",Fenugreek Seeds
"skin rash, fever, sore throat, anxiety",Licorice Root
"insomnia, vomiting",Licorice Root
"constipation, joint pain",Brahmi Syrup
"depression, constipation, vomiting, skin rash",Turmeric Capsules
"depression, itching",Licorice Root
"cough, depression, anxiety",Ashwagandha Capsules
"muscle pain, sore throat",Licorice Root
"skin rash, depression",Arjuna Bark
"headache, acne",Brahmi Syrup
"headache, diarrhea, skin rash, vomiting",Tulsi Extract
"sore throat, fever, insomnia, back pain",Tulsi Extract
"itching, muscle pain",Fenugreek Seeds
"muscle pain, diarrhea, fever",Turmeric Capsules
"joint pain, acne, dizziness",Brahmi Syrup
"itching, back pain, constipation",Brahmi Syrup
"cough, depression, sore throat, itching",Brahmi Syrup
"skin rash, cough",Brahmi Syrup
"fatigue, skin rash, depression",Peppermint Oil
"nausea, muscle pain, itching",Licorice Root
"anxiety, skin rash, dizziness, depression",Fenugreek Seeds
"headache, diarrhea, depression, cough",Triphala Juice
"stress, diarrhea",Amla Tablets
"sore throat, insomnia",Moringa Powder
"depression, vomiting",Chamomile Tea
"anxiety, vomiting, depression",Licorice Root
"cough, headache, stress",Triphala Juice
"fatigue, acne, stress",Amla Tablets
"headache, diarrhea, acne",Turmeric Capsules
"constipation, insomnia, vomiting",Arjuna Bark
"cough, headache, sore throat",Tulsi Extract
"acne, itching",Fenugreek Seeds
"joint pain, fatigue",Neem Tablets
"fatigue, insomnia, acne, muscle pain",Triphala Juice
"dizziness, headache, muscle pain, anxiety",Ashwagandha Capsules
"skin rash, diarrhea, fatigue",Licorice Root
"dizziness, vomiting",Arjuna Bark
"muscle pain, depression, insomnia, acne",Moringa Powder
"skin rash, acne, constipation, anxiety",Moringa Powder
"stress, cough, headache, diarrhea",Ashwagandha Capsules
"insomnia, vomiting, anxiety",Neem Tablets
"stress, anxiety, nausea",Ashwagandha Capsules
"anxiety, skin rash, nausea",Brahmi Syrup
"nausea, headache, muscle pain",Ashwagandha Capsules
"constipation, back pain, insomnia, nausea",Ginger Powder
"fatigue, skin rash, insomnia",Turmeric Capsules
"cough, itching, insomnia",Chamomile Tea
"fever, constipation, fatigue",Shatavari Capsules
"cough, insomnia",Moringa Powder
"nausea, acne, skin rash",Fenugreek Seeds
"vomiting, anxiety, fatigue",Fenugreek Seeds
"back pain, stress, vomiting",Arjuna Bark
"muscle pain, acne, fever, nausea",Arjuna Bark
"insomnia, sore throat, headache, stress",Turmeric Capsules
"stress, itching, skin rash, back pain",Ginger Powder
"acne, back pain",Neem Tablets
"back pain, depression, acne",Arjuna Bark
"dizziness, nausea",Fenugreek Seeds
"fever, sore throat, headache",Brahmi Syrup
"joint pain, itching",Tulsi Extract
"depression, insomnia",Licorice Root
"stress, fatigue, depression, acne",Fenugreek Seeds
"nausea, back pain",Triphala Juice
"nausea, diarrhea, anxiety",Brahmi Syrup
"anxiety, fever, nausea, diarrhea",Peppermint Oil
"vomiting, diarrhea, joint pain",Moringa Powder
"anxiety, nausea, back pain, cough",Fenugreek Seeds
"muscle pain, cough",Turmeric Capsules
"vomiting, constipation, dizziness, itching",Moringa Powder
"depression, fatigue, acne",Fenugreek Seeds
"dizziness, acne",Ginger Powder
"muscle pain, skin rash, cough",Turmeric Capsules
"fatigue, fever",Peppermint Oil
"fatigue, headache",Amla Tablets
"anxiety, back pain, nausea",Licorice Root
"insomnia, back pain, depression",Ashwagandha Capsules
"back pain, muscle pain, nausea",Peppermint Oil
"vomiting, dizziness",Amla Tablets
"fatigue, fever, constipation, nausea",Tulsi Extract
"muscle pain, insomnia",Shatavari Capsules
"headache, fatigue, nausea, dizziness",Licorice Root
"insomnia, joint pain, vomiting, muscle pain",Fenugreek Seeds
"constipation, vomiting, skin rash",Tulsi Extract
"insomnia, nausea",Fenugreek Seeds
"diarrhea, insomnia, nausea",Moringa Powder
"headache, muscle pain, fever, anxiety",Fenugreek Seeds
"fatigue, acne, skin rash",Neem Tablets
"skin rash, stress, sore throat, anxiety",Ashwagandha Capsules
"nausea, depression",Tulsi Extract
"vomiting, itching, anxiety, muscle pain",Peppermint Oil
"muscle pain, anxiety",Licorice Root
"cough, constipation, sore throat",Chamomile Tea
"insomnia, acne",Turmeric Capsules
"acne, vomiting, sore throat",Arjuna Bark
"joint pain, muscle pain",Tulsi Extract
"headache, diarrhea, stress, joint pain",Moringa Powder
"cough, muscle pain, back pain, joint pain",Amla Tablets
"dizziness, joint pain",Amla Tablets
"joint pain, diarrhea",Neem Tablets
"stress, nausea, vomiting, dizziness",Shatavari Capsules
"stress, headache",Turmeric Capsules
"anxiety, cough",Triphala Juice
"insomnia, diarrhea, acne",Turmeric Capsules
"back pain, dizziness, acne, itching",Arjuna Bark
"constipation, nausea, skin rash, dizziness",Turmeric Capsules
"constipation, back pain, headache",Fenugreek Seeds
"skin rash, headache, cough",Arjuna Bark
"itching, joint pain, diarrhea, muscle pain",Fenugreek Seeds
"insomnia, stress, muscle pain",Ashwagandha Capsules
"cough, itching",Triphala Juice
"constipation, fatigue, itching, back pain",Shatavari Capsules
"vomiting, itching, fatigue",Moringa Powder
"skin rash, joint pain, vomiting, muscle pain",Ashwagandha Capsules
"joint pain, headache, fever, acne",Triphala Juice
"depression, anxiety, stress",Peppermint Oil
"muscle pain, anxiety, vomiting",Chamomile Tea
"nausea, vomiting",Ginger Powder
"stress, acne, diarrhea, fatigue",Ginger Powder
"fever, skin rash",Neem Tablets
"anxiety, nausea, joint pain, diarrhea",Peppermint Oil
"sore throat, headache, diarrhea",Neem Tablets
"muscle pain, cough, joint pain, itching",Triphala Juice
"muscle pain, acne",Neem Tablets
"cough, back pain, depression, anxiety",Shatavari Capsules
"fever, insomnia",Shatavari Capsules
"insomnia, stress, constipation",Turmeric Capsules
"nausea, stress, fever, skin rash",Peppermint Oil
"itching, nausea, headache, fatigue",Turmeric Capsules
"dizziness, sore throat",Brahmi Syrup
"constipation, insomnia",Fenugreek Seeds
"constipation, acne",Arjuna Bark
"fatigue, acne, depression",Fenugreek Seeds
"itching, constipation, sore throat",Licorice Root
"anxiety, diarrhea",Ashwagandha Capsules
"dizziness, acne, muscle pain",Triphala Juice
"dizziness, skin rash",Chamomile Tea
"nausea, insomnia, dizziness, headache",Triphala Juice
"itching, stress",Licorice Root
"headache, fever, muscle pain, cough",Fenugreek Seeds
"fatigue, stress, depression",Neem Tablets
"skin rash, stress, back pain",Licorice Root
"vomiting, fever, joint pain, stress",Licorice Root
"stress, depression",Moringa Powder
"fatigue, acne",Brahmi Syrup
"dizziness, depression",Peppermint Oil
"diarrhea, muscle pain",Ashwagandha Capsules
"cough, headache",Fenugreek Seeds
"dizziness, insomnia, fatigue",Ginger Powder
"itching, skin rash",Shatavari Capsules
"back pain, skin rash, diarrhea",Shatavari Capsules
"fever, itching, nausea",Tulsi Extract
"vomiting, itching, fatigue, back pain",Ashwagandha Capsules
"anxiety, acne",Ashwagandha Capsules
"depression, fatigue, cough, insomnia",Turmeric Capsules
"fever, diarrhea, back pain, sore throat",Chamomile Tea
"fever, sore throat",Arjuna Bark
"diarrhea, acne",Licorice Root
"back pain, vomiting",Brahmi Syrup
"fatigue, acne, fever",Shatavari Capsules
"fatigue, constipation, acne",Arjuna Bark
"muscle pain, vomiting",Licorice Root
"itching, insomnia",Tulsi Extract
"constipation, joint pain",Amla Tablets
"stress, headache",Turmeric Capsules
"muscle pain, joint pain, stress, sore throat",Brahmi Syrup
"fever, insomnia, headache",Neem Tablets
"back pain, constipation, sore throat",Ginger Powder
"skin rash, constipation, fever, anxiety",Arjuna Bark
"fever, nausea",Arjuna Bark
"headache, joint pain, vomiting, acne",Brahmi Syrup
"cough, joint pain, diarrhea, anxiety",Moringa Powder
"cough, fatigue, headache",Turmeric Capsules
"stress, sore throat, diarrhea, nausea",Shatavari Capsules
"headache, acne",Ashwagandha Capsules
"muscle pain, back pain, skin rash",Arjuna Bark
"nausea, diarrhea, joint pain, cough",Licorice Root
"depression, constipation",Neem Tablets
"depression, dizziness, fatigue",Fenugreek Seeds
"fever, sore throat",Triphala Juice
"constipation, skin rash, depression",Fenugreek Seeds
"nausea, dizziness, vomiting",Turmeric Capsules
"insomnia, sore throat, itching, depression",Arjuna Bark
"sore throat, itching, back pain",Neem Tablets
"vomiting, dizziness, fever",Neem Tablets
"vomiting, dizziness, fatigue",Ashwagandha Capsules
"sore throat, acne",Brahmi Syrup
"headache, muscle pain, dizziness, depression",Moringa Powder
"insomnia, muscle pain",Amla Tablets
"constipation, joint pain, insomnia, fatigue",Peppermint Oil
"constipation, headache, fatigue",Ginger Powder
"muscle pain, fever, sore throat, anxiety",Triphala Juice
"depression, insomnia, joint pain, stress",Fenugreek Seeds
"insomnia, back pain, headache",Arjuna Bark
"joint pain, sore throat",Ashwagandha Capsules
"fever, fatigue",Peppermint Oil
"stress, cough, vomiting, fatigue",Turmeric Capsules
"skin rash, anxiety, fever, nausea",Shatavari Capsules
"fatigue, vomiting, cough, depression",Arjuna Bark
"diarrhea, skin rash",Amla Tablets
"itching, anxiety, nausea",Arjuna Bark
"joint pain, sore throat, anxiety",Brahmi Syrup
"cough, fatigue",Ginger Powder
"nausea, skin rash, diarrhea",Ginger Powder
"dizziness, joint pain, muscle pain",Shatavari Capsules
"skin rash, fever, cough, stress",Amla Tablets
"fever, dizziness, joint pain, back pain",Arjuna Bark
"constipation, itching",Ginger Powder
"skin rash, fatigue, stress, depression",Licorice Root
"skin rash, itching, fever",Triphala Juice
"fatigue, stress, back pain, cough",Licorice Root
"nausea, diarrhea, muscle pain, fatigue",Moringa Powder
"joint pain, stress, headache, dizziness",Triphala Juice
"back pain, cough",Fenugreek Seeds
"back pain, vomiting, fatigue, insomnia",Arjuna Bark
"diarrhea, joint pain",Neem Tablets
"insomnia, nausea",Shatavari Capsules
"nausea, skin rash, cough",Ginger Powder
"joint pain, anxiety, nausea",Brahmi Syrup
"anxiety, vomiting, headache",Amla Tablets
"fever, stress, acne",Neem Tablets
"back pain, dizziness",Turmeric Capsules
"vomiting, anxiety, acne, fever",Shatavari Capsules
"vomiting, cough, constipation",Triphala Juice
"joint pain, insomnia, fever, nausea",Chamomile Tea
"anxiety, constipation, cough",Chamomile Tea
"nausea, vomiting, back pain, joint pain",Ashwagandha Capsules
"headache, back pain, fatigue, itching",Licorice Root
"insomnia, depression, skin rash",Triphala Juice
"joint pain, cough, itching, insomnia",Amla Tablets
"nausea, back pain, skin rash, itching",Ginger Powder
"back pain, nausea",Arjuna Bark
"depression, skin rash",Tulsi Extract
"muscle pain, diarrhea, back pain",Arjuna Bark
"vomiting, fatigue, cough",Turmeric Capsules
"muscle pain, cough",Peppermint Oil
"joint pain, fatigue, itching",Licorice Root
"depression, insomnia",Turmeric Capsules
"constipation, depression, acne",Ashwagandha Capsules
"headache, muscle pain",Moringa Powder
"dizziness, joint pain, insomnia",Triphala Juice
"joint pain, muscle pain",Tulsi Extract
"stress, fatigue, sore throat",Peppermint Oil
"vomiting, stress, depression, constipation",Tulsi Extract
"skin rash, cough, muscle pain",Shatavari Capsules
"itching, joint pain, fatigue, acne",Chamomile Tea
"vomiting, cough",Fenugreek Seeds
"depression, diarrhea",Brahmi Syrup
"cough, acne, skin rash, nausea",Chamomile Tea
"constipation, insomnia, vomiting",Neem Tablets
"sore throat, fatigue",Arjuna Bark
"back pain, skin rash, fever",Moringa Powder
"dizziness, vomiting, headache, acne",Arjuna Bark
"muscle pain, vomiting, itching, sore throat",Peppermint Oil
"joint pain, itching, insomnia",Peppermint Oil
"skin rash, sore throat, joint pain, nausea",Shatavari Capsules
"depression, skin rash, cough, sore throat",Fenugreek Seeds
"anxiety, sore throat, muscle pain",Triphala Juice
"muscle pain, joint pain",Moringa Powder
"back pain, vomiting, insomnia",Licorice Root
"sore throat, cough, insomnia",Licorice Root
"dizziness, headache, skin rash",Licorice Root
"stress, headache",Tulsi Extract
"acne, fatigue",Moringa Powder
"dizziness, acne, constipation",Fenugreek Seeds
"diarrhea, fever, insomnia, anxiety",Peppermint Oil
"fever, diarrhea, muscle pain",Fenugreek Seeds
"joint pain, itching, fever, diarrhea",Moringa Powder
"joint pain, cough",Tulsi Extract
"constipation, headache, joint pain, stress",Moringa Powder
"vomiting, nausea, headache",Shatavari Capsules
"skin rash, muscle pain, cough, stress",Peppermint Oil
"constipation, insomnia",Licorice Root
"itching, acne, stress, skin rash",Ashwagandha Capsules
